"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"LCSA*",1,164,82.5,47.4868402823351,82.5,82.5,60.7866,1,164,163,0,-1.22197244605484,3.70809924354783
"CSAcostFirst_2014",2,164,22.7428176403427,2.08600970001008,22.6504528272255,22.6195175211697,2.04498432129221,18.4655436906351,29.7271168197832,11.2615731291481,0.623394056694566,0.473940085518951,0.162889991093349
"CSApointChangeFirst",3,164,-1.81038547312715,0.778438469379514,-1.955010788293,-1.84893158265342,0.713874577808258,-3.39673692205529,1.77150367518575,5.16824059724103,0.804192411363681,1.70368637772614,0.0607858320809036
"CSAcostFirst_2019",4,164,20.9324321672155,1.83706098521825,20.6164951971261,20.8043013865791,1.90878701540101,17.7668793528439,27.6339448781134,9.86706552526949,0.794916125573723,0.755425136883716,0.143450362440162
"CSAstarterOverTotPP_2014",5,164,2.13680236126941,1.26638645052231,1.92548204834836,2.00569683617692,1.24722229250155,0.137029619479287,5.81991675434591,5.68288713486663,0.830122406299884,0.0767059829876677,0.0988881679914139
"CSAstarterRatioPPchange",6,164,0.728396974026837,1.05654720688085,0.442895453811029,0.578943096884207,0.722249835165173,-1.25427908224109,4.99817355998322,6.25245264222431,1.40172136854655,2.03988292313067,0.0825024759557406
"CSAstarterOverTotPP_2019",7,164,2.88358731365438,1.9938477932038,2.50491750685548,2.63327612255609,1.7488824339058,0.18621112409063,9.84203110255051,9.65581997845988,1.14234295488128,1.00233886970845,0.155693355248966
"CSAstarterRatioDecade",8,164,4.918501529326,3.05788101855891,4.41110976684733,4.59654834887107,3.10631883778994,0.321532251535374,14.3989595777821,14.0774273262468,0.913307772164876,0.344860389147961,0.238780391038054
"CSApointcontributionFromExternal_14",9,164,0.504397391037443,0.999260138950777,0.284236386076666,0.405142554174458,0.801256719957488,-1.37574657913683,4.51384652921801,5.88959310835483,1.17559771244762,2.01320350940875,0.078029107502637
"CSApointChangeExternal",10,164,-0.0708426136420774,0.663206878344835,-0.067346634545447,-0.0785556067697341,0.599497440004522,-1.91571823544966,2.53632613416891,4.45204436961857,0.323248335379777,1.12390680254759,0.051787756550756
"CSApointcontributionFromExternal_19",11,164,0.433554777395365,1.09920242663253,0.294391966420396,0.340574174404897,0.890901677649578,-2.21922981441221,3.84866021150454,6.06789002591675,0.764733488136253,0.663637891616708,0.0858332890221436
"CSApointcontributionFromExternal",12,164,0.909268032679688,1.95168081115112,0.717638204155542,0.709031836341906,1.73952086442775,-2.87446682063357,7.7752833145215,10.6497501351551,1.00150386496066,1.14897624638764,0.152400667141638
"CSApointcontributionFromForeign_14",13,164,0.472923749486385,0.290563801892376,0.402173478295628,0.430683113596426,0.20473145173627,0.109710025843826,1.7754624010078,1.66575237516397,1.77743431986939,4.17085734660559,0.022689221005094
"CSApointChangeForeign",14,164,0.0105400147486772,0.126555331194904,0.0120121376912538,0.0156522774702722,0.0885593630492447,-0.367531556484516,0.434893206107121,0.802424762591638,-0.3397964719514,1.31434044386597,0.0098823110798833
"CSApointcontributionFromForeign_19",15,164,0.483463764235062,0.294261648021207,0.41880439407368,0.442158125802309,0.214364443132229,0.104424417152846,2.01761842788255,1.91319401072971,2.03582718072341,6.26017478181243,0.0229779742755064
